state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date
IL,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,59,0,55,,04/01/2023,03/31/2025
IL,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,15,134,21,5,,07/01/2024,06/30/2025
IL,MORT_30_AMI,Death rate for heart attack patients,0,86,0,71,,07/01/2022,06/30/2025
IL,MORT_30_CABG,Death rate for CABG surgery patients,0,39,0,9,,07/01/2022,06/30/2025
IL,MORT_30_COPD,Death rate for COPD patients,1,123,2,51,,07/01/2022,06/30/2025
IL,MORT_30_HF,Death rate for heart failure patients,0,120,6,50,,07/01/2022,06/30/2025
IL,MORT_30_PN,Death rate for pneumonia patients,5,145,6,21,,07/01/2022,06/30/2025
IL,MORT_30_STK,Death rate for stroke patients,1,91,3,64,,07/01/2023,06/30/2025
IL,PSI_03,Pressure ulcer rate,7,113,3,1,,07/01/2022,06/30/2024
IL,PSI_04,Death rate among surgical inpatients with serious treatable complications,2,61,1,37,,07/01/2022,06/30/2024
IL,PSI_06,Iatrogenic pneumothorax rate,0,123,0,1,,07/01/2022,06/30/2024
IL,PSI_08,In-hospital fall-associated fracture rate,0,123,0,1,,07/01/2022,06/30/2024
IL,PSI_09,Postoperative hemorrhage or hematoma rate,0,108,0,12,,07/01/2022,06/30/2024
IL,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,94,0,17,,07/01/2022,06/30/2024
IL,PSI_11,Postoperative respiratory failure rate,6,84,5,18,,07/01/2022,06/30/2024
IL,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,4,104,0,12,,07/01/2022,06/30/2024
IL,PSI_13,Postoperative sepsis rate,2,90,3,14,,07/01/2022,06/30/2024
IL,PSI_14,Postoperative wound dehiscence rate,0,98,0,17,,07/01/2022,06/30/2024
IL,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,112,0,7,,07/01/2022,06/30/2024
IL,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,8,105,5,Not Available,,07/01/2022,06/30/2024
IN,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,38,1,47,,04/01/2023,03/31/2025
IN,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,9,100,6,2,,07/01/2024,06/30/2025
IN,MORT_30_AMI,Death rate for heart attack patients,0,47,0,50,,07/01/2022,06/30/2025
IN,MORT_30_CABG,Death rate for CABG surgery patients,0,24,0,3,,07/01/2022,06/30/2025
IN,MORT_30_COPD,Death rate for COPD patients,0,74,0,38,,07/01/2022,06/30/2025
IN,MORT_30_HF,Death rate for heart failure patients,0,86,1,25,,07/01/2022,06/30/2025
IN,MORT_30_PN,Death rate for pneumonia patients,0,102,0,12,,07/01/2022,06/30/2025
IN,MORT_30_STK,Death rate for stroke patients,2,60,2,38,,07/01/2023,06/30/2025
IN,PSI_03,Pressure ulcer rate,0,82,0,1,,07/01/2022,06/30/2024
IN,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,38,0,28,,07/01/2022,06/30/2024
IN,PSI_06,Iatrogenic pneumothorax rate,1,82,0,1,,07/01/2022,06/30/2024
IN,PSI_08,In-hospital fall-associated fracture rate,0,83,0,1,,07/01/2022,06/30/2024
IN,PSI_09,Postoperative hemorrhage or hematoma rate,0,78,0,2,,07/01/2022,06/30/2024
IN,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,70,0,7,,07/01/2022,06/30/2024
IN,PSI_11,Postoperative respiratory failure rate,2,68,0,7,,07/01/2022,06/30/2024
IN,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,78,0,2,,07/01/2022,06/30/2024
IN,PSI_13,Postoperative sepsis rate,0,70,0,7,,07/01/2022,06/30/2024
IN,PSI_14,Postoperative wound dehiscence rate,0,67,0,12,,07/01/2022,06/30/2024
IN,PSI_15,Abdominopelvic accidental puncture or laceration rate,1,76,0,3,,07/01/2022,06/30/2024
IN,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1,79,0,Not Available,,07/01/2022,06/30/2024
KS,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,25,1,25,,04/01/2023,03/31/2025
KS,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,10,108,1,10,,07/01/2024,06/30/2025
KS,MORT_30_AMI,Death rate for heart attack patients,0,25,0,58,,07/01/2022,06/30/2025
KS,MORT_30_CABG,Death rate for CABG surgery patients,1,12,0,1,,07/01/2022,06/30/2025
KS,MORT_30_COPD,Death rate for COPD patients,0,44,0,79,,07/01/2022,06/30/2025
KS,MORT_30_HF,Death rate for heart failure patients,1,51,0,71,,07/01/2022,06/30/2025
KS,MORT_30_PN,Death rate for pneumonia patients,4,82,1,38,,07/01/2022,06/30/2025
KS,MORT_30_STK,Death rate for stroke patients,0,23,0,75,,07/01/2023,06/30/2025
KS,PSI_03,Pressure ulcer rate,1,47,0,0,,07/01/2022,06/30/2024
KS,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,14,0,16,,07/01/2022,06/30/2024
KS,PSI_06,Iatrogenic pneumothorax rate,0,48,0,0,,07/01/2022,06/30/2024
KS,PSI_08,In-hospital fall-associated fracture rate,0,48,0,0,,07/01/2022,06/30/2024
KS,PSI_09,Postoperative hemorrhage or hematoma rate,0,45,0,1,,07/01/2022,06/30/2024
KS,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,41,0,5,,07/01/2022,06/30/2024
KS,PSI_11,Postoperative respiratory failure rate,4,39,0,3,,07/01/2022,06/30/2024
KS,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,44,1,1,,07/01/2022,06/30/2024
KS,PSI_13,Postoperative sepsis rate,0,41,0,4,,07/01/2022,06/30/2024
KS,PSI_14,Postoperative wound dehiscence rate,0,31,0,12,,07/01/2022,06/30/2024
KS,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,41,0,5,,07/01/2022,06/30/2024
KS,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0,45,1,Not Available,,07/01/2022,06/30/2024
KY,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,20,0,34,,04/01/2023,03/31/2025
KY,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,16,73,2,1,,07/01/2024,06/30/2025
KY,MORT_30_AMI,Death rate for heart attack patients,0,34,0,44,,07/01/2022,06/30/2025
KY,MORT_30_CABG,Death rate for CABG surgery patients,0,13,0,1,,07/01/2022,06/30/2025
KY,MORT_30_COPD,Death rate for COPD patients,0,55,0,39,,07/01/2022,06/30/2025
KY,MORT_30_HF,Death rate for heart failure patients,2,60,0,32,,07/01/2022,06/30/2025
KY,MORT_30_PN,Death rate for pneumonia patients,2,74,0,18,,07/01/2022,06/30/2025
KY,MORT_30_STK,Death rate for stroke patients,0,36,0,45,,07/01/2023,06/30/2025
